Country,City or Region (if applicable),Resolution,Year,Month (if applicable),Pollutant,Concentration,Unit,Method of Measurement,Data Source (Link),(Comments)
Cambodia,NA,Annual,2000,NA,Ambient PM2.5,30,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2005,NA,Ambient PM2.5,31,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2010,NA,Ambient PM2.5,31,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2011,NA,Ambient PM2.5,31,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2012,NA,Ambient PM2.5,31,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2013,NA,Ambient PM2.5,30,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2014,NA,Ambient PM2.5,29,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2015,NA,Ambient PM2.5,27,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2016,NA,Ambient PM2.5,25,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2017,NA,Ambient PM2.5,26,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),1990,NA,Ambient O3,40,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),1995,NA,Ambient O3,40,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2000,NA,Ambient O3,41,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2005,NA,Ambient O3,41,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2010,NA,Ambient O3,42,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2011,NA,Ambient O3,42,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2012,NA,Ambient O3,43,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2013,NA,Ambient O3,43,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2014,NA,Ambient O3,43,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2015,NA,Ambient O3,43,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2016,NA,Ambient O3,44,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,8-hour max during warm season (6-month period),2017,NA,Ambient O3,44,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,1990,NA,Household AP,0.98,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,1995,NA,Household AP,0.98,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2000,NA,Household AP,0.97,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2005,NA,Household AP,0.96,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2010,NA,Household AP,0.95,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2011,NA,Household AP,0.95,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2012,NA,Household AP,0.94,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2013,NA,Household AP,0.94,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2014,NA,Household AP,0.93,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2015,NA,Household AP,0.92,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2016,NA,Household AP,0.92,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,2017,NA,Household AP,0.91,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,1990,NA,Ambient PM2.5,81,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,1995,NA,Ambient PM2.5,83,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2000,NA,Ambient PM2.5,84,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2005,NA,Ambient PM2.5,90,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2010,NA,Ambient PM2.5,96,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2011,NA,Ambient PM2.5,98,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2012,NA,Ambient PM2.5,88,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2013,NA,Ambient PM2.5,92,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2014,NA,Ambient PM2.5,90,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2015,NA,Ambient PM2.5,89,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2016,NA,Ambient PM2.5,90,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,Annual,2017,NA,Ambient PM2.5,91,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),1990,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),1995,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2000,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2005,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2010,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2011,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2012,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2013,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2014,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2015,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2016,NA,Ambient O3,61,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,8-hour max during warm season (6-month period),2017,NA,Ambient O3,61,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
India,NA,Annual,1990,NA,Household AP,0.85,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,1995,NA,Household AP,0.82,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2000,NA,Household AP,0.78,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2005,NA,Household AP,0.76,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2010,NA,Household AP,0.72,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2011,NA,Household AP,0.7,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2012,NA,Household AP,0.69,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2013,NA,Household AP,0.67,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2014,NA,Household AP,0.66,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2015,NA,Household AP,0.64,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2016,NA,Household AP,0.62,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
India,NA,Annual,2017,NA,Household AP,0.6,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,1990,NA,Ambient PM2.5,18,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,1995,NA,Ambient PM2.5,18,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2000,NA,Ambient PM2.5,18,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2005,NA,Ambient PM2.5,19,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2010,NA,Ambient PM2.5,18,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2011,NA,Ambient PM2.5,18,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2012,NA,Ambient PM2.5,18,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2013,NA,Ambient PM2.5,17,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2014,NA,Ambient PM2.5,16,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2015,NA,Ambient PM2.5,17,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2016,NA,Ambient PM2.5,16,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,Annual,2017,NA,Ambient PM2.5,17,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Indonesia,NA,8-hour max during warm season (6-month period),1990,NA,Ambient O3,40,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Indonesia,NA,8-hour max during warm season (6-month period),1995,NA,Ambient O3,40,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Indonesia,NA,8-hour max during warm season (6-month period),2000,NA,Ambient O3,41,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Indonesia,NA,8-hour max during warm season (6-month period),2005,NA,Ambient O3,42,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Indonesia,NA,8-hour max during warm season (6-month period),2010,NA,Ambient O3,43,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
