Country,Year,Age,Cause,Pollutant,Measure,Value,Lower Bound,Upper Bound,Units,Life Expectancy (State of global air?),
Bangladesh,2007,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,141.8795,91.31071,198.5418,"per 100,000",68.861,
Bangladesh,2008,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,147.8089,95.48816,203.1456,"per 100,000",69.311996,
Bangladesh,2009,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,152.6999,97.64703,216.4734,"per 100,000",69.759003,
Bangladesh,2010,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,156.5727,96.86334,228.2006,"per 100,000",70.197998,
Bangladesh,2011,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,157.5205,94.53843,227.1723,"per 100,000",70.625999,
Bangladesh,2012,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,161.8343,97.90917,231.9918,"per 100,000",71.039001,
Bangladesh,2013,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,158.8358,96.18921,226.165,"per 100,000",71.431,
Bangladesh,2014,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,172.6096,103.7959,252.6567,"per 100,000",71.803001,
Bangladesh,2015,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,176.1993,108.0093,252.5065,"per 100,000",72.154999,
Bangladesh,2016,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,170.9682,102.2841,249.1731,"per 100,000",72.7,
Bangladesh,2017,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,179.5791,107.2153,261.4065,"per 100,000",,
Bangladesh,1990,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.287538,2.333703,7.12893,"per 100,000",58.401001,
Bangladesh,1991,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.046985,2.20913,6.586715,"per 100,000",59.033001,
Bangladesh,1992,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.110132,2.449469,6.65776,"per 100,000",59.700001,
Bangladesh,1993,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.087017,2.401977,6.29521,"per 100,000",60.400002,
Bangladesh,1994,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.047398,2.315032,6.359542,"per 100,000",61.126999,
Bangladesh,1995,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.087871,2.318393,6.430215,"per 100,000",61.868,
Bangladesh,1996,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.068961,2.333012,6.226516,"per 100,000",62.610001,
Bangladesh,1997,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.034011,2.392359,6.083235,"per 100,000",63.338001,
Bangladesh,1998,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.048629,2.409252,6.123593,"per 100,000",64.038002,
Bangladesh,1999,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.125266,2.451069,6.142508,"per 100,000",64.702003,
Bangladesh,2000,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.205816,2.418569,6.308942,"per 100,000",65.323997,
Bangladesh,2001,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.253384,2.564546,6.241882,"per 100,000",65.903,
Bangladesh,2002,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.328072,2.706702,6.403294,"per 100,000",66.447998,
Bangladesh,2003,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.422922,2.720278,6.513991,"per 100,000",66.964996,
Bangladesh,2004,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.448778,2.702996,6.427764,"per 100,000",67.459999,
Bangladesh,2005,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.554675,2.709381,6.8429,"per 100,000",67.936996,
Bangladesh,2006,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,4.785397,2.964406,6.733499,"per 100,000",68.403,
Bangladesh,2007,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.091037,3.270583,7.135992,"per 100,000",68.861,
Bangladesh,2008,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.311437,3.447652,7.401207,"per 100,000",69.311996,
Bangladesh,2009,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.491092,3.487818,7.792221,"per 100,000",69.759003,
Bangladesh,2010,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.653985,3.499903,8.382046,"per 100,000",70.197998,
Bangladesh,2011,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.591794,3.422726,8.013169,"per 100,000",70.625999,
Bangladesh,2012,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.658055,3.477268,8.034183,"per 100,000",71.039001,
Bangladesh,2013,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,5.608155,3.395043,8.024606,"per 100,000",71.431,
Bangladesh,2014,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,6.232866,3.708484,9.096824,"per 100,000",71.803001,
Bangladesh,2015,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,6.434117,3.886947,9.299306,"per 100,000",72.154999,
Bangladesh,2016,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,6.358135,3.870514,9.321792,"per 100,000",72.7,
Bangladesh,2017,All ages,Chronic obstructive pulmonary disease,Ambient PM,Deaths,6.8488,4.040858,10.01297,"per 100,000",,
Bangladesh,1990,All ages,Ischemic heart disease,Ambient PM,DALYs,43.33788,25.48531,66.54752,"per 100,000",58.401001,
Bangladesh,1991,All ages,Ischemic heart disease,Ambient PM,DALYs,41.86742,25.74797,62.692,"per 100,000",59.033001,
Bangladesh,1992,All ages,Ischemic heart disease,Ambient PM,DALYs,43.29813,28.63407,63.62171,"per 100,000",59.700001,
Bangladesh,1993,All ages,Ischemic heart disease,Ambient PM,DALYs,43.92574,28.57072,63.23165,"per 100,000",60.400002,
Bangladesh,1994,All ages,Ischemic heart disease,Ambient PM,DALYs,45.00886,28.84757,64.56401,"per 100,000",61.126999,
Bangladesh,1995,All ages,Ischemic heart disease,Ambient PM,DALYs,47.14282,29.38662,68.16947,"per 100,000",61.868,
Bangladesh,1996,All ages,Ischemic heart disease,Ambient PM,DALYs,48.3574,31.60463,68.31225,"per 100,000",62.610001,
Bangladesh,1997,All ages,Ischemic heart disease,Ambient PM,DALYs,50.25322,33.04389,69.5173,"per 100,000",63.338001,
Bangladesh,1998,All ages,Ischemic heart disease,Ambient PM,DALYs,52.39033,34.27233,73.7837,"per 100,000",64.038002,
Bangladesh,1999,All ages,Ischemic heart disease,Ambient PM,DALYs,56.99729,37.04015,81.50605,"per 100,000",64.702003,
Bangladesh,2000,All ages,Ischemic heart disease,Ambient PM,DALYs,66.0286,41.79201,95.89429,"per 100,000",65.323997,
Bangladesh,2001,All ages,Ischemic heart disease,Ambient PM,DALYs,73.3099,48.88307,102.8163,"per 100,000",65.903,
Bangladesh,2002,All ages,Ischemic heart disease,Ambient PM,DALYs,84.59885,58.42423,118.4978,"per 100,000",66.447998,
Bangladesh,2003,All ages,Ischemic heart disease,Ambient PM,DALYs,103.123,71.57119,139.5598,"per 100,000",66.964996,
Bangladesh,2004,All ages,Ischemic heart disease,Ambient PM,DALYs,117.1575,78.02354,160.7217,"per 100,000",67.459999,
Bangladesh,2005,All ages,Ischemic heart disease,Ambient PM,DALYs,131.2518,86.56084,184.7304,"per 100,000",67.936996,
Bangladesh,2006,All ages,Ischemic heart disease,Ambient PM,DALYs,148.5577,100.7143,202.6036,"per 100,000",68.403,
Bangladesh,2007,All ages,Ischemic heart disease,Ambient PM,DALYs,165.7455,117.369,223.4971,"per 100,000",68.861,
Bangladesh,2008,All ages,Ischemic heart disease,Ambient PM,DALYs,179.3784,126.6313,240.0386,"per 100,000",69.311996,
Bangladesh,2009,All ages,Ischemic heart disease,Ambient PM,DALYs,189.3283,132.7673,254.2216,"per 100,000",69.759003,
Bangladesh,2010,All ages,Ischemic heart disease,Ambient PM,DALYs,198.194,132.3939,272.8413,"per 100,000",70.197998,
Bangladesh,2011,All ages,Ischemic heart disease,Ambient PM,DALYs,199.8678,132.1732,274.3047,"per 100,000",70.625999,
Bangladesh,2012,All ages,Ischemic heart disease,Ambient PM,DALYs,206.3535,141.9494,279.4397,"per 100,000",71.039001,
Bangladesh,2013,All ages,Ischemic heart disease,Ambient PM,DALYs,198.568,133.9029,269.0411,"per 100,000",71.431,
Bangladesh,2014,All ages,Ischemic heart disease,Ambient PM,DALYs,210.9101,137.8545,289.4183,"per 100,000",71.803001,
Bangladesh,2015,All ages,Ischemic heart disease,Ambient PM,DALYs,213.6777,146.2907,291.1939,"per 100,000",72.154999,
Bangladesh,2016,All ages,Ischemic heart disease,Ambient PM,DALYs,206.1385,136.6055,287.9258,"per 100,000",72.7,
Bangladesh,2017,All ages,Ischemic heart disease,Ambient PM,DALYs,214.1954,140.6353,294.8636,"per 100,000",,
Bangladesh,1990,All ages,Ischemic heart disease,Ambient PM,Deaths,1.648685,0.972592,2.518923,"per 100,000",58.401001,
Bangladesh,1991,All ages,Ischemic heart disease,Ambient PM,Deaths,1.566986,0.974549,2.347926,"per 100,000",59.033001,
Bangladesh,1992,All ages,Ischemic heart disease,Ambient PM,Deaths,1.604076,1.063747,2.323254,"per 100,000",59.700001,
Bangladesh,1993,All ages,Ischemic heart disease,Ambient PM,Deaths,1.618536,1.047804,2.309812,"per 100,000",60.400002,
Bangladesh,1994,All ages,Ischemic heart disease,Ambient PM,Deaths,1.648268,1.06343,2.379396,"per 100,000",61.126999,
Bangladesh,1995,All ages,Ischemic heart disease,Ambient PM,Deaths,1.712596,1.069105,2.473967,"per 100,000",61.868,
Bangladesh,1996,All ages,Ischemic heart disease,Ambient PM,Deaths,1.744849,1.135692,2.451559,"per 100,000",62.610001,
Bangladesh,1997,All ages,Ischemic heart disease,Ambient PM,Deaths,1.803096,1.192788,2.48804,"per 100,000",63.338001,
Bangladesh,1998,All ages,Ischemic heart disease,Ambient PM,Deaths,1.873067,1.236199,2.598056,"per 100,000",64.038002,
Bangladesh,1999,All ages,Ischemic heart disease,Ambient PM,Deaths,2.029298,1.305714,2.888698,"per 100,000",64.702003,
Bangladesh,2000,All ages,Ischemic heart disease,Ambient PM,Deaths,2.334523,1.479302,3.401544,"per 100,000",65.323997,
Bangladesh,2001,All ages,Ischemic heart disease,Ambient PM,Deaths,2.582163,1.734175,3.614927,"per 100,000",65.903,
Bangladesh,2002,All ages,Ischemic heart disease,Ambient PM,Deaths,2.971085,2.040923,4.13614,"per 100,000",66.447998,
Bangladesh,2003,All ages,Ischemic heart disease,Ambient PM,Deaths,3.617372,2.516625,4.898219,"per 100,000",66.964996,
Bangladesh,2004,All ages,Ischemic heart disease,Ambient PM,Deaths,4.11901,2.780272,5.632753,"per 100,000",67.459999,
Bangladesh,2005,All ages,Ischemic heart disease,Ambient PM,Deaths,4.624925,3.032205,6.459854,"per 100,000",67.936996,
Bangladesh,2006,All ages,Ischemic heart disease,Ambient PM,Deaths,5.235735,3.562463,7.093644,"per 100,000",68.403,
Bangladesh,2007,All ages,Ischemic heart disease,Ambient PM,Deaths,5.880082,4.118413,7.903041,"per 100,000",68.861,
Bangladesh,2008,All ages,Ischemic heart disease,Ambient PM,Deaths,6.428478,4.493365,8.599039,"per 100,000",69.311996,
Bangladesh,2009,All ages,Ischemic heart disease,Ambient PM,Deaths,6.833093,4.837986,9.201673,"per 100,000",69.759003,
Bangladesh,2010,All ages,Ischemic heart disease,Ambient PM,Deaths,7.210405,4.826627,9.814873,"per 100,000",70.197998,
Bangladesh,2011,All ages,Ischemic heart disease,Ambient PM,Deaths,7.265476,4.797096,9.979474,"per 100,000",70.625999,
Bangladesh,2012,All ages,Ischemic heart disease,Ambient PM,Deaths,7.483389,5.130299,10.06233,"per 100,000",71.039001,
Bangladesh,2013,All ages,Ischemic heart disease,Ambient PM,Deaths,7.26008,4.873807,9.754016,"per 100,000",71.431,
Bangladesh,2014,All ages,Ischemic heart disease,Ambient PM,Deaths,7.805499,5.159691,10.66577,"per 100,000",71.803001,
Bangladesh,2015,All ages,Ischemic heart disease,Ambient PM,Deaths,7.962217,5.408882,10.82913,"per 100,000",72.154999,
Bangladesh,2016,All ages,Ischemic heart disease,Ambient PM,Deaths,7.734116,5.131242,10.71516,"per 100,000",72.7,
Bangladesh,2017,All ages,Ischemic heart disease,Ambient PM,Deaths,8.137406,5.362239,11.19992,"per 100,000",,
Bangladesh,1990,All ages,Ischemic stroke,Ambient PM,DALYs,16.59452,9.153722,27.89748,"per 100,000",58.401001,
Bangladesh,1991,All ages,Ischemic stroke,Ambient PM,DALYs,15.94088,9.174779,25.72134,"per 100,000",59.033001,
Bangladesh,1992,All ages,Ischemic stroke,Ambient PM,DALYs,16.39083,9.605236,25.8585,"per 100,000",59.700001,
Bangladesh,1993,All ages,Ischemic stroke,Ambient PM,DALYs,16.66102,10.09796,25.51953,"per 100,000",60.400002,
Bangladesh,1994,All ages,Ischemic stroke,Ambient PM,DALYs,16.97485,10.09954,25.78304,"per 100,000",61.126999,
Bangladesh,1995,All ages,Ischemic stroke,Ambient PM,DALYs,17.68822,10.17703,27.62183,"per 100,000",61.868,
Bangladesh,1996,All ages,Ischemic stroke,Ambient PM,DALYs,18.43117,10.9112,28.23105,"per 100,000",62.610001,
Bangladesh,1997,All ages,Ischemic stroke,Ambient PM,DALYs,19.35016,11.61487,28.80734,"per 100,000",63.338001,
Bangladesh,1998,All ages,Ischemic stroke,Ambient PM,DALYs,20.13609,12.44049,30.87689,"per 100,000",64.038002,
Bangladesh,1999,All ages,Ischemic stroke,Ambient PM,DALYs,21.46092,12.6578,32.91147,"per 100,000",64.702003,
Bangladesh,2000,All ages,Ischemic stroke,Ambient PM,DALYs,23.2565,13.72537,36.76009,"per 100,000",65.323997,
Bangladesh,2001,All ages,Ischemic stroke,Ambient PM,DALYs,25.0535,15.32512,38.45252,"per 100,000",65.903,
Bangladesh,2002,All ages,Ischemic stroke,Ambient PM,DALYs,26.91876,16.48335,40.00899,"per 100,000",66.447998,
Bangladesh,2003,All ages,Ischemic stroke,Ambient PM,DALYs,29.23466,17.90426,43.07037,"per 100,000",66.964996,
Bangladesh,2004,All ages,Ischemic stroke,Ambient PM,DALYs,31.7086,19.18155,48.28028,"per 100,000",67.459999,
Bangladesh,2005,All ages,Ischemic stroke,Ambient PM,DALYs,35.21669,20.74706,54.36063,"per 100,000",67.936996,
Bangladesh,2006,All ages,Ischemic stroke,Ambient PM,DALYs,38.30652,23.7406,57.4695,"per 100,000",68.403,
Bangladesh,2007,All ages,Ischemic stroke,Ambient PM,DALYs,41.44605,25.89525,60.28211,"per 100,000",68.861,
Bangladesh,2008,All ages,Ischemic stroke,Ambient PM,DALYs,44.16963,28.64115,65.72196,"per 100,000",69.311996,
Bangladesh,2009,All ages,Ischemic stroke,Ambient PM,DALYs,45.95923,28.43436,67.93936,"per 100,000",69.759003,
Bangladesh,2010,All ages,Ischemic stroke,Ambient PM,DALYs,47.88935,28.56792,71.67452,"per 100,000",70.197998,
Bangladesh,2011,All ages,Ischemic stroke,Ambient PM,DALYs,47.66797,28.98443,71.75621,"per 100,000",70.625999,
Bangladesh,2012,All ages,Ischemic stroke,Ambient PM,DALYs,48.27428,29.2374,72.41261,"per 100,000",71.039001,
Bangladesh,2013,All ages,Ischemic stroke,Ambient PM,DALYs,45.95051,28.49185,68.94968,"per 100,000",71.431,
Bangladesh,2014,All ages,Ischemic stroke,Ambient PM,DALYs,48.19867,29.20217,74.96185,"per 100,000",71.803001,
Bangladesh,2015,All ages,Ischemic stroke,Ambient PM,DALYs,48.23568,30.81384,71.58561,"per 100,000",72.154999,
Bangladesh,2016,All ages,Ischemic stroke,Ambient PM,DALYs,46.81417,29.20178,72.23949,"per 100,000",72.7,
Bangladesh,2017,All ages,Ischemic stroke,Ambient PM,DALYs,48.96799,30.103,74.0406,"per 100,000",,
Bangladesh,1990,All ages,Ischemic stroke,Ambient PM,Deaths,0.791886,0.426405,1.3498,"per 100,000",58.401001,
Bangladesh,1991,All ages,Ischemic stroke,Ambient PM,Deaths,0.753577,0.42669,1.231847,"per 100,000",59.033001,
Bangladesh,1992,All ages,Ischemic stroke,Ambient PM,Deaths,0.772626,0.453107,1.214062,"per 100,000",59.700001,
Bangladesh,1993,All ages,Ischemic stroke,Ambient PM,Deaths,0.78589,0.473034,1.21232,"per 100,000",60.400002,
Bangladesh,1994,All ages,Ischemic stroke,Ambient PM,Deaths,0.80297,0.472327,1.217918,"per 100,000",61.126999,
Bangladesh,1995,All ages,Ischemic stroke,Ambient PM,Deaths,0.837296,0.486061,1.312889,"per 100,000",61.868,
Bangladesh,1996,All ages,Ischemic stroke,Ambient PM,Deaths,0.8732,0.518093,1.291677,"per 100,000",62.610001,
Bangladesh,1997,All ages,Ischemic stroke,Ambient PM,Deaths,0.916909,0.557161,1.350608,"per 100,000",63.338001,
Bangladesh,1998,All ages,Ischemic stroke,Ambient PM,Deaths,0.955466,0.59093,1.450256,"per 100,000",64.038002,
Bangladesh,1999,All ages,Ischemic stroke,Ambient PM,Deaths,1.018682,0.603454,1.532566,"per 100,000",64.702003,
Bangladesh,2000,All ages,Ischemic stroke,Ambient PM,Deaths,1.101994,0.643741,1.720582,"per 100,000",65.323997,
Bangladesh,2001,All ages,Ischemic stroke,Ambient PM,Deaths,1.195219,0.730238,1.825204,"per 100,000",65.903,
Bangladesh,2002,All ages,Ischemic stroke,Ambient PM,Deaths,1.284822,0.788849,1.90138,"per 100,000",66.447998,
Bangladesh,2003,All ages,Ischemic stroke,Ambient PM,Deaths,1.396678,0.873466,2.037436,"per 100,000",66.964996,
Bangladesh,2004,All ages,Ischemic stroke,Ambient PM,Deaths,1.520606,0.92792,2.28374,"per 100,000",67.459999,
